time,lat,lon,depth,prochloro_abundance,synecho_abundance
2003-05-24,-20.494,-24.99,13.2,108000,376.78
2003-05-24,-20.494,-24.99,52.6,112000,578.63
2003-05-24,-20.494,-24.99,122.5,73188,8.95
2003-05-24,-20.494,-24.99,151.9,16128,2.87
2003-05-24,-20.494,-24.99,253.2,211.3,3.02
2003-05-24,-20.494,-24.99,402.6,132.14,5.87
2003-05-24,-20.494,-24.99,703,0,NA
2003-05-24,-20.494,-24.99,1104.4,0,NA
2003-05-24,-20.494,-24.99,1505.9,0,NA
2003-05-24,-20.494,-24.99,1907.8,0,NA
2003-05-24,-20.494,-24.99,2310.5,0,NA
2003-05-25,-16.594,-24.99,0.7,121000,448.24
2003-05-25,-16.594,-24.99,11.3,105000,325.03
2003-05-25,-16.594,-24.99,26.3,132000,469.59
2003-05-25,-16.594,-24.99,50.6,144000,688.58
2003-05-25,-16.594,-24.99,75.5,101000,443.08
2003-05-25,-16.594,-24.99,90.8,54249,2.93
2003-05-25,-16.594,-24.99,128.9,23675,5.84
2003-05-25,-16.594,-24.99,150,11440,6.06
2003-05-25,-16.594,-24.99,176.1,3434.5,2.9
2003-05-25,-16.594,-24.99,250.8,177.72,2.96
2003-05-26,-13.926,-25,6.9,138000,323.06
2003-05-26,-13.926,-25,18.1,124000,297.78
2003-05-26,-13.926,-25,31.3,133000,338.4
2003-05-26,-13.926,-25,55.3,137000,422.78
2003-05-26,-13.926,-25,119.9,37494,101.78
2003-05-26,-13.926,-25,129.7,29736,25.69
2003-05-26,-13.926,-25,138.8,22581,42.59
2003-05-26,-13.926,-25,199.8,3090.7,3.02
2003-05-26,-13.926,-25,220.1,689.8,12.72
2003-05-26,-13.926,-25,250,8918,79.19
2003-05-26,-13.926,-25,300.4,8.99,14.98
2003-05-26,-13.926,-25,1.2,116000,237.5
2003-05-26,-13.926,-25,9,127000,284.07
2003-05-26,-13.926,-25,24.2,123000,227.85
2003-05-26,-13.926,-25,49.1,114000,340.38
2003-05-26,-13.926,-25,74.4,133000,401.61
2003-05-26,-13.926,-25,99.6,86081,926.73
2003-05-26,-13.926,-25,124.4,29461,65.87
2003-05-26,-13.926,-25,149,11464,8.49
2003-05-26,-13.926,-25,174.4,5775.7,9.21
2003-05-26,-13.926,-25,199.3,1513.9,2.99
2003-05-26,-13.926,-25,249.7,65.88,3.14
2003-05-26,-13.926,-25,299.6,17.86,0
2003-05-27,-10.597,-25,7.2,215000,660.24
2003-05-27,-10.597,-25,15.8,228000,567.11
2003-05-27,-10.597,-25,27.5,199000,652.21
2003-05-27,-10.597,-25,48,201000,644.43
2003-05-27,-10.597,-25,79.2,241000,1169.3
2003-05-27,-10.597,-25,100.2,177000,1107
2003-05-27,-10.597,-25,106.9,145000,NA
2003-05-27,-10.597,-25,139.6,27442,NA
2003-05-27,-10.597,-25,172.8,12062,NA
2003-05-27,-10.597,-25,199.8,3083.3,NA
2003-05-27,-10.597,-25,300.4,20332,NA
2003-05-28,-6.453,-25,5.1,341000,11163
2003-05-28,-6.453,-25,9.8,338000,12886
2003-05-28,-6.453,-25,19.6,310000,12402
2003-05-28,-6.453,-25,34.2,322000,14357
2003-05-28,-6.453,-25,59.7,195000,7827.9
2003-05-28,-6.453,-25,76.1,141000,4352.3
2003-05-28,-6.453,-25,101,34221,242.59
2003-05-28,-6.453,-25,119.1,12748,41.77
2003-05-28,-6.453,-25,149.6,2882.2,11.52
2003-05-28,-6.453,-25,199.9,17.49,32.07
2003-05-28,-6.453,-25,299.9,68.9,24.8
2003-05-28,-5.3209,-25,0.7,204000,7436.2
2003-05-28,-5.3209,-25,9.9,179000,10101
2003-05-28,-5.3209,-25,24.5,216000,10798
2003-05-28,-5.3209,-25,50.2,196000,8521.1
2003-05-28,-5.3209,-25,74.6,90516,7025.7
2003-05-28,-5.3209,-25,83.8,60933,4033.2
2003-05-28,-5.3209,-25,124.5,11254,21.87
2003-05-28,-5.3209,-25,150,3150.9,38.53
2003-05-28,-5.3209,-25,174.7,368.86,22.19
2003-05-28,-5.3209,-25,200.1,160.77,19.74
2003-05-28,-5.3209,-25,249.3,113.86,35.96
2003-05-28,-5.3209,-25,299.7,158.01,19.75
2003-05-29,-2.2361,-25,0.6,150000,9588.7
2003-05-29,-2.2361,-25,8,1.00E+05,7131
2003-05-29,-2.2361,-25,23.6,89382,4944.5
2003-05-29,-2.2361,-25,48.3,64049,4181.9
2003-05-29,-2.2361,-25,54.2,71399,7732.6
2003-05-29,-2.2361,-25,98.4,14248,202.85
2003-05-29,-2.2361,-25,124.1,444.38,172.31
2003-05-29,-2.2361,-25,149.3,97.3,120.88
2003-05-29,-2.2361,-25,173.7,30.01,141.05
2003-05-29,-2.2361,-25,198.8,32.63,142.41
2003-05-29,-2.2361,-25,249.2,35.97,149.89
2003-05-29,-2.2361,-25,299.4,42.09,129.28
2003-05-29,-2.2361,-25,4.1,181000,10992
2003-05-29,-2.2361,-25,8.9,185000,11253
2003-05-29,-2.2361,-25,19.4,175000,11468
2003-05-29,-2.2361,-25,47.9,81637,5985.1
2003-05-29,-2.2361,-25,65,70220,10019
2003-05-29,-2.2361,-25,88.8,34849,267.21
2003-05-29,-2.2361,-25,120.3,3751.3,223.87
2003-05-29,-2.2361,-25,139.4,313.14,159.77
2003-05-29,-2.2361,-25,198.6,59.96,128.1
2003-05-29,-2.2361,-25,299.9,87.49,123.7
2003-05-30,1.0867,-25.65,5.6,283000,15640
2003-05-30,1.0867,-25.65,12,251000,16293
2003-05-30,1.0867,-25.65,20.4,290000,11179
2003-05-30,1.0867,-25.65,37.3,198000,12414
2003-05-30,1.0867,-25.65,55.8,123000,9331.9
2003-05-30,1.0867,-25.65,68.7,89964,4569.9
2003-05-30,1.0867,-25.65,100,5994.5,120.61
2003-05-30,1.0867,-25.65,130.9,2769.4,109.05
2003-05-30,1.0867,-25.65,200.7,90.53,93.45
2003-05-30,1.0867,-25.65,301.1,88.88,50.36
2003-05-30,2.2113,-26.31,0.9,205000,6027.2
2003-05-30,2.2113,-26.31,9.2,199000,6358.3
2003-05-30,2.2113,-26.31,23.5,2.00E+05,6624.2
2003-05-30,2.2113,-26.31,48.6,217000,9305.8
2003-05-30,2.2113,-26.31,62.7,45869,2805.5
2003-05-30,2.2113,-26.31,99.2,18348,162.37
2003-05-30,2.2113,-26.31,123.7,2708.2,148.68
2003-05-30,2.2113,-26.31,148.9,1376.8,178.81
2003-05-30,2.2113,-26.31,173.7,858.98,92.72
2003-05-30,2.2113,-26.31,198.5,407.74,81.55
2003-05-30,2.2113,-26.31,249.4,168.33,55.19
2003-05-30,2.2113,-26.31,299.3,121.62,94.92
2003-05-31,5.9161,-28.48,1.5,288000,20723
2003-05-31,5.9161,-28.48,9.9,329000,14574
2003-05-31,5.9161,-28.48,24.7,414000,NA
2003-05-31,5.9161,-28.48,49.2,246000,24569
2003-05-31,5.9161,-28.48,65.5,88001,7391
2003-05-31,5.9161,-28.48,99.5,10825,153.14
2003-05-31,5.9161,-28.48,124.9,5009.7,101.61
2003-05-31,5.9161,-28.48,150,605.6,95.17
2003-05-31,5.9161,-28.48,174.5,71.14,112.64
2003-05-31,5.9161,-28.48,199.6,53.8,77.71
2003-05-31,5.9161,-28.48,249.6,67.31,99.5
2003-05-31,5.9161,-28.48,300.4,46.29,120.35
2003-06-01,8.5325,-30.06,2.4,209000,5985.9
2003-06-01,8.5325,-30.06,7.3,513000,5277.6
2003-06-01,8.5325,-30.06,27.1,195000,6035.8
2003-06-01,8.5325,-30.06,43.5,147000,6137.3
2003-06-01,8.5325,-30.06,56.1,71204,4933.6
2003-06-01,8.5325,-30.06,79.2,34155,419.19
2003-06-01,8.5325,-30.06,96.7,26654,119.81
2003-06-01,8.5325,-30.06,119.1,10511,52.31
2003-06-01,8.5325,-30.06,199.1,245.59,54.9
2003-06-01,8.5325,-30.06,299.6,23.61,91.5
2003-06-01,9.5632,-30.68,0.8,247000,4797.6
2003-06-01,9.5632,-30.68,10.1,231000,4682.5
2003-06-01,9.5632,-30.68,24.5,203000,4631.9
2003-06-01,9.5632,-30.68,49.8,76114,3799.9
2003-06-01,9.5632,-30.68,59.1,58069,1405.5
2003-06-01,9.5632,-30.68,99.9,12199,46.63
2003-06-01,9.5632,-30.68,124.7,7986.1,24.72
2003-06-01,9.5632,-30.68,150.1,438.8,48.09
2003-06-01,9.5632,-30.68,174.6,66.25,30.11
2003-06-01,9.5632,-30.68,199.2,44.33,20.69
2003-06-01,9.5632,-30.68,249.6,41.96,47.96
2003-06-02,12.234,-32.29,7.5,313000,4908.8
2003-06-02,12.234,-32.29,15,285000,5081.6
2003-06-02,12.234,-32.29,27.1,244000,3971.8
2003-06-02,12.234,-32.29,48.7,333000,6873.3
2003-06-02,12.234,-32.29,64.5,131000,3254.6
2003-06-02,12.234,-32.29,73.7,49400,339.82
2003-06-02,12.234,-32.29,97,17723,25.95
2003-06-02,12.234,-32.29,119.6,6455.9,32.4
2003-06-02,12.234,-32.29,199.3,27.47,73.26
2003-06-02,12.234,-32.29,300.2,9.02,42.11
2003-06-02,12.235,-32.29,1.7,208000,4449.1
2003-06-02,12.235,-32.29,9.1,214000,4290.4
2003-06-02,12.235,-32.29,23.9,184000,4346.6
2003-06-02,12.235,-32.29,48.7,201000,5978.1
2003-06-02,12.235,-32.29,68.7,133000,10838
2003-06-02,12.235,-32.29,99,34323,104.91
2003-06-02,12.235,-32.29,123.9,20.35,5.82
2003-06-02,12.235,-32.29,149.3,15451,25.27
2003-06-02,12.235,-32.29,174,5742,36.88
2003-06-02,12.235,-32.29,199.8,459.57,48.83
2003-06-02,12.235,-32.29,249.7,203.57,32.14
2003-06-02,12.235,-32.29,300,39.49,48.6
2003-06-03,14.425,-33.61,12.4,166000,2342.1
2003-06-03,14.425,-33.61,23.3,165000,2473
2003-06-03,14.425,-33.61,41.1,231000,2672.8
2003-06-03,14.425,-33.61,88.9,125000,82.69
2003-06-03,14.425,-33.61,99.8,81489,9.01
2003-06-03,14.425,-33.61,119.1,25076,11.8
2003-06-03,14.425,-33.61,149.3,4575.7,17.93
2003-06-03,14.425,-33.61,199.4,11.6,8.7
2003-06-03,14.425,-33.61,250.2,15.12,12.1
2003-06-03,14.425,-33.61,300.5,9.21,1.54
2003-06-03,15.448,-34.23,1.7,228000,2950.3
2003-06-03,15.448,-34.23,10.5,221000,2822.1
2003-06-03,15.448,-34.23,25.7,225000,3806.5
2003-06-03,15.448,-34.23,50.3,223000,3425.9
2003-06-03,15.448,-34.23,75.6,231000,2700.1
2003-06-03,15.448,-34.23,100.7,160000,1226.5
2003-06-03,15.448,-34.23,113.9,111000,142.25
2003-06-03,15.448,-34.23,150.6,12379,2.92
2003-06-03,15.448,-34.23,175.3,427.71,14.55
2003-06-03,15.448,-34.23,200.5,50.35,17.77
2003-06-03,15.448,-34.23,250.5,20.75,8.89
2003-06-03,15.448,-34.23,300.8,40.63,20.32
2003-06-04,18.036,-35.83,7.3,142000,2545.1
2003-06-04,18.036,-35.83,12.4,126000,2477.7
2003-06-04,18.036,-35.83,24.1,129000,2397.1
2003-06-04,18.036,-35.83,41.9,140000,2790.9
2003-06-04,18.036,-35.83,90,157000,2071.9
2003-06-04,18.036,-35.83,99.9,169000,498.04
2003-06-04,18.036,-35.83,109.4,69622,60.96
2003-06-04,18.036,-35.83,150,16410,29.04
2003-06-04,18.036,-35.83,199.7,646.84,20.96
2003-06-04,18.036,-35.83,250,16.58,8.29
2003-06-04,18.036,-35.83,300.4,11.56,11.56
2003-06-04,19.051,-36.46,2.5,150000,2197.7
2003-06-04,19.051,-36.46,9.9,165000,2089.4
2003-06-04,19.051,-36.46,24.9,181000,1938.2
