,time,lat,lon,depth,prochloro_abundance,synecho_abundance
192,2003-05-26,-13.925999999999998,-25.0,31.3,133000.0,338.4
193,2003-05-26,-13.925999999999998,-25.0,55.3,137000.0,422.78
194,2003-05-26,-13.925999999999998,-25.0,119.9,37494.0,101.78
195,2003-05-26,-13.925999999999998,-25.0,129.7,29736.0,25.69
196,2003-05-26,-13.925999999999998,-25.0,138.8,22581.0,42.59
197,2003-05-26,-13.925999999999998,-25.0,199.8,3090.7,3.02
198,2003-05-26,-13.925999999999998,-25.0,220.1,689.8,12.72
199,2003-05-26,-13.925999999999998,-25.0,250.0,8918.0,79.19
200,2003-05-26,-13.925999999999998,-25.0,300.4,8.99,14.98
201,2003-05-26,-13.925999999999998,-25.0,1.2,116000.0,237.5
202,2003-05-26,-13.925999999999998,-25.0,9.0,127000.0,284.07
203,2003-05-26,-13.925999999999998,-25.0,24.2,123000.0,227.85
204,2003-05-26,-13.925999999999998,-25.0,49.1,114000.0,340.38
205,2003-05-26,-13.925999999999998,-25.0,74.4,133000.0,401.61
206,2003-05-26,-13.925999999999998,-25.0,99.6,86081.0,926.73
207,2003-05-26,-13.925999999999998,-25.0,124.4,29461.0,65.87
208,2003-05-26,-13.925999999999998,-25.0,149.0,11464.0,8.49
209,2003-05-26,-13.925999999999998,-25.0,174.4,5775.7,9.21
210,2003-05-26,-13.925999999999998,-25.0,199.3,1513.9,2.99
211,2003-05-26,-13.925999999999998,-25.0,249.7,65.88,3.14
212,2003-05-26,-13.925999999999998,-25.0,299.6,17.86,0.0
213,2003-05-27,-10.597000000000001,-25.0,7.2,215000.0,660.24
214,2003-05-27,-10.597000000000001,-25.0,15.8,228000.0,567.11
215,2003-05-27,-10.597000000000001,-25.0,27.5,199000.0,652.21
216,2003-05-27,-10.597000000000001,-25.0,48.0,201000.0,644.43
217,2003-05-27,-10.597000000000001,-25.0,79.2,241000.0,1169.3
218,2003-05-27,-10.597000000000001,-25.0,100.2,177000.0,1107.0
219,2003-05-27,-10.597000000000001,-25.0,106.9,145000.0,
220,2003-05-27,-10.597000000000001,-25.0,139.6,27442.0,
221,2003-05-27,-10.597000000000001,-25.0,172.8,12062.0,
222,2003-05-27,-10.597000000000001,-25.0,199.8,3083.3,
223,2003-05-27,-10.597000000000001,-25.0,300.4,20332.0,
224,2003-05-28,-6.452999999999999,-25.0,5.1,341000.0,11163.0
225,2003-05-28,-6.452999999999999,-25.0,9.8,338000.0,12886.0
226,2003-05-28,-6.452999999999999,-25.0,19.6,310000.0,12402.0
227,2003-05-28,-6.452999999999999,-25.0,34.2,322000.0,14357.0
228,2003-05-28,-6.452999999999999,-25.0,59.7,195000.0,7827.9
229,2003-05-28,-6.452999999999999,-25.0,76.1,141000.0,4352.3
230,2003-05-28,-6.452999999999999,-25.0,101.0,34221.0,242.59
231,2003-05-28,-6.452999999999999,-25.0,119.1,12748.0,41.77
232,2003-05-28,-6.452999999999999,-25.0,149.6,2882.2,11.52
233,2003-05-28,-6.452999999999999,-25.0,199.9,17.49,32.07
234,2003-05-28,-6.452999999999999,-25.0,299.9,68.9,24.8
235,2003-05-28,-5.3209,-25.0,0.7,204000.0,7436.2
236,2003-05-28,-5.3209,-25.0,9.9,179000.0,10101.0
237,2003-05-28,-5.3209,-25.0,24.5,216000.0,10798.0
238,2003-05-28,-5.3209,-25.0,50.2,196000.0,8521.1
239,2003-05-28,-5.3209,-25.0,74.6,90516.0,7025.7
240,2003-05-28,-5.3209,-25.0,83.8,60933.0,4033.2
241,2003-05-28,-5.3209,-25.0,124.5,11254.0,21.87
242,2003-05-28,-5.3209,-25.0,150.0,3150.9,38.53
243,2003-05-28,-5.3209,-25.0,174.7,368.86,22.19
244,2003-05-28,-5.3209,-25.0,200.1,160.77,19.74
245,2003-05-28,-5.3209,-25.0,249.3,113.86,35.96
246,2003-05-28,-5.3209,-25.0,299.7,158.01,19.75
247,2003-05-29,-2.2361,-25.0,0.6,150000.0,9588.7
